code	occupation	gender	conversations	birth-region	age-range	study-level	mothertongue	age-of-arrival-italy	years-in-italy
PST056	0-Students	F	STIR023	lazio	16-20	technical-vocational-diploma	italiano; romeno	N/A	N/A
PST057	0-Students	F	STIR023	piemonte	16-20	liceo-diploma	italiano	N/A	N/A
PST058	0-Unemployed	F	STIR024	romania	36-40	foreign-diploma	romeno	21-25	14-15
PST059	8-Elementary	F	STIR025	romania	36-40	foreign-diploma	romeno	16-20	20-21
PST060	0-Students	M	STIR026	piemonte	16-20	technical-vocational-diploma	italiano	N/A	N/A
PST061	5-Service-Workers	M	STIS009	peru	51-55	foreign-diploma	spagnolo	31-35	16-17
PST062	0-Students	F	STIS009	peru	26-30	university-degree	spagnolo	06-10	20-21
PST063	5-Service-Workers	M	STIS010;STIS011	peru	16-20	middle-school	spagnolo	16-20	02-03
PST064	5-Service-Workers	F	STIS012	peru	46-50	foreign-diploma	spagnolo	26-30	22-23
PST065	5-Service-Workers	F	STIS012	peru	26-30	middle-school	spagnolo	11-15	14-15
PST066	5-Service-Workers	F	STIS011	peru	51-55	foreign-diploma	spagnolo	21-25	26-27
PST072	5-Service-Workers	M	STIS013;STCS010	peru	31-35	university-degree	spagnolo; italiano	06-10	24-25
PST073	3-Technicians	M	STIS014	peru	51-55	university-degree	spagnolo	31-35	20-21
PST074	0-Students	F	STIS015	peru	16-20	technical-vocational-diploma	spagnolo	11-15	02-03
PST077	0-Students	F	STIR027	moldavia	26-30	university-degree	romeno	16-20	10-11
PST078	0-Unemployed	F	STIA016	marocco	51-55	middle-school	arabo	41-45	08-09
PST082	0-Students	F	STIR027;STIR028;STCR002;STCR005;STCR007	romania	26-30	university-degree-ongoing	romeno; ungherese	06-10	18-19
PST083	0-Students	F	STIR029;STCR002;STCR004;STCR005;STCR007;STCR008;STCR016	piemonte	16-20	liceo-diploma	italiano; romeno	N/A	N/A
PST085	0-Students	F	STCR002;STCR004;STCR008;STCR009;STCR010;STCR012;STCR013;STCR016	piemonte	11-15	technical-vocational-diploma	italiano; romeno	N/A	N/A
PST086	0-Students	F	STCR003;STCR005;STCR006;STCR008;STCR010;STCR013;STCR016	romania	16-20	technical-vocational-diploma	romeno	11-15	02-03
PST087	0-Students	F	STCR003;STCR004;STCR005;STCR006;STCR007;STCR009;STCR010;STCR011;STCR012;STCR013;STCR014;STCR016	piemonte	11-15	middle-school	italiano; romeno	N/A	N/A
PST088	2-Professionals	M	STIA017	marocco	61-65	university-degree	arabo	41-45	20-21
PST089	0-Students	M	STCS004	colombia	16-20	technical-vocational-diploma	spagnolo	16-20	0-1
PST091	0-Students	F	STIR028	romania	26-30	university-degree	romeno	06-10	20-21
PST092	0-Students	F	STIR030;STCR003;STCR004;STCR005;STCR006;STCR007;STCR008;STCR009;STCR010;STCR011;STCR012;STCR013;STCR014;STCR016	piemonte	16-20	technical-vocational-diploma	italiano; romeno	N/A	N/A
PST093	0-Students	F	STCR002;STCR004;STCR005;STCR016	piemonte	11-15	technical-vocational-diploma	italiano; romeno	N/A	N/A
PST094	2-Professionals	F	STIR030;STCR002;STCR003;STCR009;STCR010;STCR013	romania	46-50	university-degree	romeno	26-30	22-23
PST095	3-Technicians	F	STIA018	marocco	26-30	university-degree	arabo; italiano	0-5	26-27
PST096	0-Students	F	STIS016;STCS008	piemonte	21-25	university-degree-ongoing	italiano	N/A	N/A
PST097	5-Service-Workers	F	STIS016	peru	51-55	foreign-diploma	spagnolo	21-25	30-31
PST098	0-Students	F	STCS004	peru	16-20	technical-vocational-diploma	spagnolo	11-15	02-03
PST099	0-Students	M	STCS004	peru	16-20	middle-school	spagnolo	11-15	06-07
PST100	0-Students	F	STCR005;STCR008	romania	21-25	university-degree-ongoing	italiano	0-5	20-21
PST102	8-Elementary	F	STIR029	romania	46-50	foreign-diploma	romeno	26-30	20-21
PST103	3-Technicians	M	STCS005	sicilia	51-55	liceo-diploma	italiano	N/A	N/A
